Date,Close/Last,Volume,Open,High,Low
10/16/2015,2025.5,398,2018.9,2025.7,2014.3
10/15/2015,2019,805,1988,1999.6,1987.9
10/14/2015,1984,251,1991,1998.3,1985.5
10/13/2015,1993.9,467,2011.9,2012,1991.3
10/12/2015,2010.9,174,2006.5,2012,2004.3
10/09/2015,2007.4,506,2005,2013.8,1999
10/08/2015,2006.6,587,1987.3,2005.4,1970.8
10/07/2015,1987.2,638,1961.7,1987.5,1961.6
10/06/2015,1968.6,718,1972.6,1975,1963.6
10/05/2015,1974.7,1069,1940.5,1975.2,1938
10/02/2015,1943.1,976,1918,1928.5,1885.6
10/01/2015,1916.8,726,1901.7,1928.4,1901.7
09/30/2015,1908.7,1105,1877,1902.8,1873.7
09/29/2015,1874.5,922,1879,1885.8,1861.5
09/28/2015,1872.1,634,1871.5,1927.1,1871.5
09/25/2015,1919.2,962,1920,1950,1915.6
09/24/2015,1918.8,630,1920.2,1935.9,1908.4
09/23/2015,1928.6,919,1927.6,1941.4,1912
09/22/2015,1932.1,689,1964.1,1964.1,1926.4
09/21/2015,1963.1,753,1949,1964,1939
09/18/2015,1950.6,3279,1976,1982.1,1947.8
09/17/2015,1977.2,273,1986.4,1987.1,1975.3
09/16/2015,1988,436,1970,1987.4,1963.6
09/15/2015,1970,508,1944.8,1971.2,1935.7
09/14/2015,1944,362,1953.5,1962.3,1943.3
09/11/2015,1950.3,477,1940,1951.9,1928
09/10/2015,1949.6,690,1943.2,1965.5,1929.5
09/09/2015,1942.7,656,1965,1991.7,1941.8
09/08/2015,1965.7,1450,1926.4,1967.3,1920
09/07/2015,1921.7,N/A,1921.7,1921.7,1921.7
09/04/2015,1921.7,119,1926.4,1936.1,1920
09/03/2015,1946.1,835,1948.5,1965.1,1944.8
09/02/2015,1947.1,723,1912,1948.4,1911
09/01/2015,1915.9,1741,1962.3,1962.3,1911.5
08/31/2015,1969.2,447,1986.1,1986.1,1960
08/28/2015,1989.7,990,1987.5,1992.5,1967.7
08/27/2015,1989.3,762,1941.7,1989.1,1935.3
08/26/2015,1938.1,1470,1867.6,1941.2,1851
08/25/2015,1872.8,2953,1872.5,1948.1,1866.5
08/24/2015,1871.2,3518,1967.4,1967.4,1868.7
08/21/2015,1971.4,1155,2027,2028.7,1969
08/20/2015,2025.4,733,2073.1,2077,2025.2
08/19/2015,2072.7,639,2093.2,2097,2071.5
08/18/2015,2093.9,651,2098.3,2103.3,2092.8
08/17/2015,2099.3,644,2089.7,2098.8,2079.8
08/14/2015,2089.4,544,2079.8,2090.1,2073.8
08/13/2015,2080.5,2661,2083,2092.8,2079.8
08/12/2015,2084.2,764,2080.8,2084.7,2054.3
08/11/2015,2079.7,880,2101.3,2101.3,2080.2
08/10/2015,2099.8,352,2099.3,2101,2072.3
08/07/2015,2073.6,371,2080,2081.9,2071.8
08/06/2015,2079.5,401,2093,2098.9,2091.5
08/05/2015,2093.8,442,2083.5,2102.7,2083.5
08/04/2015,2082.9,456,2089.3,2092.3,2084
08/03/2015,2090.9,286,2099.9,2101.8,2090.6
07/31/2015,2098.4,413,2101.8,2107.3,2097.8
07/30/2015,2103.7,401,2098.7,2103.2,2091.5
07/29/2015,2101.5,468,2088,2093.5,2084.8
07/28/2015,2087.2,522,2065,2088.5,2063
07/27/2015,2064.4,807,2078,2080.3,2064.1
07/24/2015,2077.6,382,2101.6,2103.6,2077.6
07/23/2015,2098.5,411,2109.3,2113.6,2100.2
07/22/2015,2107.9,621,2108.2,2110.4,2103
07/21/2015,2114.4,477,2121.2,2124.6,2107.4
07/20/2015,2121.9,443,2117.6,2122.3,2117.6
07/17/2015,2118.8,251,2116.5,2119.6,2115.2
07/16/2015,2116.9,320,2116.9,2117.5,2103.7
07/15/2015,2104.2,474,2102.2,2106.8,2100.7
07/14/2015,2102.1,466,2101.6,2102.9,2090.7
07/13/2015,2094.4,920,2094.1,2094.1,2057.8
07/10/2015,2069,1179,2048.7,2070.1,2047.2
07/09/2015,2041.2,741,2042,2063.3,2038.4
07/08/2015,2039.2,1135,2073.4,2073.4,2039
07/07/2015,2073.7,704,2069,2077.4,2065.1
07/06/2015,2064.6,556,2043.5,2068.1,2035
07/03/2015,2068.8,N/A,2068.8,2068.8,2068.8
07/02/2015,2068.8,469,2071.5,2077.6,2069
07/01/2015,2070.9,563,2055,2077.4,2055
06/30/2015,2054.4,869,2052.9,2068.7,2051.5
06/29/2015,2050.5,1065,2081.8,2081.8,2050.5
06/26/2015,2095.7,312,2094.5,2099.1,2090.8
06/25/2015,2093.9,488,2102,2112.6,2093.7
06/24/2015,2099.4,396,2117.6,2117.6,2100
06/23/2015,2116.4,379,2114.8,2120.1,2114.4
06/22/2015,2112.8,572,2106.8,2117.5,2105.5
06/19/2015,2097.7,621,2114.9,2117.7,2097.6
06/18/2015,2114.7,393,2089,2116,2083.5
06/17/2015,2089.2,456,2090,2095.7,2087.8
06/16/2015,2089,484,2075.4,2089.9,2062.8
06/15/2015,2075.6,344,2078.9,2080.9,2071.3
06/12/2015,2084.9,423,2100.8,2101,2092
06/11/2015,2109.2,413,2104,2110.1,2104
06/10/2015,2106.9,588,2081,2106.4,2080.3
06/09/2015,2080.1,666,2080.4,2082,2068.9
06/08/2015,2078.2,773,2088.5,2093,2078.5
06/05/2015,2092.2,592,2099,2101.2,2087
06/04/2015,2098.9,438,2115.6,2116.2,2098.6
06/03/2015,2116,719,2107,2119.6,2107
06/02/2015,2106.7,1719,2111.4,2112,2094.9
06/01/2015,2109.2,1060,2109.3,2115.4,2104.1
05/29/2015,2106,288,2121.6,2122.6,2107.4
05/28/2015,2121.7,444,2121.4,2122.5,2115.4
05/27/2015,2120.9,460,2103.4,2120.2,2101.3
05/26/2015,2104.9,517,2122.7,2126,2105.2
05/25/2015,2124.6,N/A,2124.6,2124.6,2124.6
05/22/2015,2124.6,355,2129,2130.6,2123.4
05/21/2015,2128,325,2120,2128.8,2116
05/20/2015,2122.5,352,2124,2126,2121.9
05/19/2015,2124.6,519,2126.2,2133.4,2123.4
05/18/2015,2125.9,341,2118.9,2126.8,2112.5
05/15/2015,2118.9,1208,2117.1,2122.7,2116.5
05/14/2015,2117.6,417,2096,2117.8,2093.5
05/13/2015,2094.5,490,2094.8,2105.8,2094.8
05/12/2015,2095,1047,2098.3,2100.7,2080
05/11/2015,2097.8,410,2107.3,2110.3,2096.5
05/08/2015,2108.4,734,2108.6,2108.6,2084.5
05/07/2015,2084.2,1613,2074.7,2084,2057.7
05/06/2015,2074.2,583,2074,2092.3,2074
05/05/2015,2084,705,2108.8,2111.2,2084.9
05/04/2015,2109.3,424,2101.5,2108.5,2098.1
05/01/2015,2101.6,326,2081,2101.6,2081
04/30/2015,2078.9,932,2097.6,2101.2,2082.3
04/29/2015,2099,465,2110.7,2112.1,2095.3
04/28/2015,2112,694,2104,2104.6,2095.5
04/27/2015,2104.7,522,2114,2117.8,2103.8
04/24/2015,2111.7,382,2106.4,2112.8,2103.6
04/23/2015,2106.9,515,2099.6,2109.1,2088
04/22/2015,2100.2,816,2100.6,2100.6,2080.4
04/21/2015,2091,805,2089.9,2105.1,2089.9
04/20/2015,2091,1329,2081.9,2091,2079.2
04/17/2015,2075.5,1202,2101.3,2101.5,2075.9
04/16/2015,2100.8,789,2101.4,2102.2,2089.3
04/15/2015,2099.8,577,2090.2,2102.2,2087.5
04/14/2015,2090.9,886,2087.1,2092.7,2079.2
04/13/2015,2086.5,1186,2094.5,2097.6,2086
04/10/2015,2095.5,793,2085.5,2096.1,2083.6
04/09/2015,2085.7,634,2077,2086.5,2067.4
04/08/2015,2075.9,570,2069.4,2076.5,2064.8
04/07/2015,2067.8,N/A,2067.8,2067.8,2067.8
04/06/2015,2073.2,174,2039.9,2073.2,2039.9
04/03/2015,2059.5,N/A,2059.5,2059.5,2059.5
04/02/2015,2059.5,143,2059.3,2062.1,2038.9
04/01/2015,2053.1,1185,2057.8,2060.8,2039.4
03/31/2015,2060.8,696,2076.6,2076.8,2058.2
03/30/2015,2075.6,712,2076.3,2076.3,2049.5
03/27/2015,2052.6,717,2050.2,2056.7,2041.9
03/26/2015,2048.5,1169,2055.1,2055.8,2033.3
03/25/2015,2053.8,716,2085.2,2088.1,2081.7
03/24/2015,2084.9,551,2095.4,2100.8,2085
03/23/2015,2094.8,1263,2101.9,2105,2093.7
03/20/2015,2099.2,623,2078.6,2100.7,2078.1
03/19/2015,2081.6,885,2094,2098.8,2084.5
03/18/2015,2092.6,933,2066.3,2093.9,2056.9
03/17/2015,2066.2,2859,2066,2069.8,2061
03/16/2015,2068.6,N/A,2068.6,2068.6,2068.6
03/13/2015,2042.2,472,2057,2061,2044.1
03/12/2015,2064,946,2037.5,2050.6,2037.5
03/11/2015,2039.5,1110,2044.1,2052.1,2040.6
03/10/2015,2041.9,1144,2077.6,2077.9,2042.7
03/09/2015,2077.7,799,2067.5,2077.9,2066.2
03/06/2015,2070.8,690,2074,2102.9,2071
03/05/2015,2099.7,769,2096.4,2103.5,2094.8
03/04/2015,2096.5,977,2104.2,2104.2,2096.3
03/03/2015,2104.8,N/A,2104.8,2104.8,2104.8
03/02/2015,2113.9,N/A,2113.9,2113.9,2113.9
02/27/2015,2102.8,579,2109.3,2109.3,2105.1
02/26/2015,2109.9,879,2110.2,2114.7,2108
02/25/2015,2110.2,403,2113.5,2114,2110.2
02/24/2015,2113.7,574,2106.3,2114.1,2105.2
02/23/2015,2106.7,259,2106.5,2107.3,2102
02/20/2015,2107.1,448,2096.1,2107.4,2089
02/19/2015,2095.3,495,2095.2,2099,2088.3
02/18/2015,2095.4,595,2096.4,2098.2,2091.4
02/17/2015,2095.9,787,2082.5,2097.6,2081
02/16/2015,2093.5,N/A,2093.5,2093.5,2093.5
02/13/2015,2093.5,405,2082.4,2094.9,2082
02/12/2015,2084.1,614,2071.8,2083.9,2059.8
02/11/2015,2065.7,464,2066.1,2079,2058
02/10/2015,2062.2,623,2043.8,2063.1,2041
02/09/2015,2042.4,359,2054.3,2047.8,2039.7
02/06/2015,2053.1,567,2056.2,2065,2053
02/05/2015,2055.1,612,2025.1,2056.5,2021.5
02/04/2015,2030.1,N/A,2030.1,2030.1,2030.1
02/03/2015,2042.1,1634,2015,2041.8,2007.4
02/02/2015,2017.1,N/A,2015,2017.1,2017.1
01/30/2015,1988.4,667,2018.6,2018.6,1990.7
01/29/2015,2018.5,1608,2019,2019.2,1987.7
01/28/2015,1991.6,856,2036,2046,1991.8
01/27/2015,2030,1644,2054.2,2054.5,2026.4
01/26/2015,2053.6,1219,2035.5,2054.7,2026.1
01/23/2015,2043.9,1882,2054.6,2062,2043
01/22/2015,2056.4,1069,2026,2057.5,2026
01/21/2015,2026.6,616,2016,2027.3,2008.7
01/20/2015,2016.8,2854,2009.1,2025.3,2003.5
01/19/2015,1989.1,N/A,1989.1,1989.1,1989.1
01/16/2015,1989.1,61,1980.5,1982.3,1979.1
01/15/2015,1989.1,99,1980.5,1982.3,1971.4
01/14/2015,2007.5,2274,2008.3,2019.2,1985.8
01/13/2015,2016.1,840,2023.5,2037.2,2017.3
01/12/2015,2022.4,415,2033.5,2047.5,2022.9
01/09/2015,2035.3,1055,2054.1,2061.2,2033.6
