date,ada_close,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2019-09-18,0.053292,0.049008,0.047071,0.045753,0.045452,0.04499,0.04651,0.046931
2019-09-19,0.052504,0.053292,0.049008,0.047071,0.045753,0.045452,0.04499,0.04651
2019-09-20,0.05234,0.052504,0.053292,0.049008,0.047071,0.045753,0.045452,0.04499
2019-09-23,0.046264,0.05234,0.052504,0.053292,0.049008,0.047071,0.045753,0.045452
2019-09-24,0.037573,0.046264,0.05234,0.052504,0.053292,0.049008,0.047071,0.045753
2019-09-25,0.039396,0.037573,0.046264,0.05234,0.052504,0.053292,0.049008,0.047071
2019-09-26,0.038229,0.039396,0.037573,0.046264,0.05234,0.052504,0.053292,0.049008
2019-09-27,0.039532,0.038229,0.039396,0.037573,0.046264,0.05234,0.052504,0.053292
2019-09-30,0.038885,0.039532,0.038229,0.039396,0.037573,0.046264,0.05234,0.052504
2019-10-01,0.038507,0.038885,0.039532,0.038229,0.039396,0.037573,0.046264,0.05234
