,nas_close,eth_close,dow_close,ada_close,amd_close,snp_close,bnb_close,nvda_close,eth_close**2,ada_close**2
72,7223.69,0.03182868997977568,25792.86,1.2634029556821904,11.91,2782.6,0.2682990752563783,55.0275,0.0010130655058286726,1.5961870284264947
73,7298.28,0.0315572057366768,26115.65,1.2607804533534983,12.18,2803.7,0.2653425501491988,56.18,0.0009958572339069471,1.5895673515582527
74,7296.05,0.03122424452205297,26017.81,1.2310613401917214,12.47,2796.2,0.26462435581496435,56.110001,0.0009749534459729548,1.5155120233146373
75,7336.38,0.030472230587273892,26071.72,1.2398724703006792,12.59,2811.0,0.2587116469412779,57.5275,0.0009285568369639906,1.5372837426095085
76,7408.03,0.03168357233853225,26214.6,1.3240005408490354,12.65,2835.2,0.2771944864258734,58.422501,0.001003848756131006,1.7529774321685383
77,7460.29,0.03209370871115689,26210.81,1.3326582907668276,12.94,2839.6,0.2763580526170121,59.727501,0.0010300061388365876,1.7759781199495626
78,7415.06,0.030310963962740002,26252.12,1.267745870699804,12.71,2841.0,0.270877407403394,58.950001,0.0009187545363505231,1.607179592676404
79,7411.16,0.030617569323933076,26392.79,1.252453493762258,12.41,2841.2,0.27494532568449126,59.087502,0.0009374355513058477,1.5686397540372865
80,7505.77,0.030757730619891226,26616.71,1.2665515508057699,12.95,2874.5,0.2750513878377841,60.8325,0.0009460379928857942,1.6041528308485007
81,7466.51,0.029356582514977393,26439.48,1.2667324146002217,13.32,2853.6,0.2798969049668186,61.712502,0.0008618089369586764,1.604611010198908
82,7402.48,0.030617856347948866,26076.89,1.371133360699763,12.87,2824.5,0.2981331218915681,60.68,0.0009374531273436327,1.8800066928238266
83,7411.48,0.02957247085946145,26149.39,1.3876647825094244,13.74,2825.8,0.29954354387839566,61.450001,0.0008745310327336966,1.9256135486169281
84,7385.86,0.03234121192045911,26186.71,1.5399712681000999,13.25,2822.4,0.32417269716336705,60.125,0.0010459539884840466,2.3715115065738295
85,7240.95,0.033687969156203236,25520.96,1.6001864005685398,12.45,2756.7,0.3218732010827384,58.380001,0.0011348792658693006,2.560596516564499
86,6967.53,0.04091487265673931,24345.75,1.7477523610483972,11.57,2607.7,0.38618876695298815,53.424999,0.0016740268045171939,3.054638315550247
